City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,shitanjing,39.2342,106.3439,25.3,5,42,2.87,CN,1746951957
318,greenwood,34.1668,-82.1165,14.34,54,100,2.06,US,1746951958
319,aykhal,66.0,111.5,1.74,86,100,3.1,RU,1746951959
320,bonthe,7.5264,-12.505,26.62,89,100,1.94,SL,1746951960
321,vilyuysk,63.7553,121.6247,9.23,72,100,2.45,RU,1746951961
322,novouzensk,50.4592,48.1431,15.05,43,100,3.17,RU,1746951962
323,umba,66.6871,34.3429,2.64,63,14,0.89,RU,1746951963
324,stolin,51.8912,26.846,11.14,55,9,2.84,BY,1746951964
325,kamiiso,41.8167,140.65,15.21,72,20,7.72,JP,1746951965
326,vila velha,-20.3297,-40.2925,22.97,100,75,2.06,BR,1746951872
327,marianna,30.7744,-85.2269,22.02,83,75,2.06,US,1746951968
328,fisterra,42.9049,-9.2629,13.26,78,55,7.57,ES,1746951969
329,pskov,57.8136,28.3496,5.95,49,100,5.0,RU,1746951970
330,vila do maio,15.1333,-23.2167,21.83,79,32,6.89,CV,1746951971
331,alaghsas,17.0187,8.0168,34.92,7,89,1.53,NE,1746951972
332,darab,28.7519,54.5444,32.06,13,0,3.38,IR,1746951973
333,leava,-14.3,-178.1667,28.64,81,100,8.95,WF,1746951974
334,tharad,24.3961,71.6267,36.59,33,97,3.9,IN,1746951975
335,yemetsk,63.4721,41.7941,7.4,53,30,5.24,RU,1746951976
336,sainte-suzanne,-20.9061,55.6089,29.1,61,20,8.75,RE,1746951977
337,ballina,-28.8667,153.5667,18.12,81,52,6.57,AU,1746951978
338,talanga,14.4,-87.0833,21.84,83,100,0.99,HN,1746951979
339,akwanga,8.9167,8.3833,28.82,56,34,2.15,NG,1746951980
340,gay,51.4666,58.4552,22.32,43,100,6.91,RU,1746951981
341,hammerfest,70.6634,23.6821,6.25,75,75,2.57,NO,1746951982
342,sao tome,0.3365,6.7273,29.02,79,20,5.14,ST,1746951983
343,gamboru,12.3707,14.2173,33.95,18,4,1.82,NG,1746951984
344,liberal,37.0431,-100.921,10.08,76,0,2.06,US,1746951986
345,rio branco,-9.9747,-67.81,23.34,100,40,2.06,BR,1746951987
346,wotho,10.1657,166.0102,27.45,77,100,7.15,MH,1746951988
347,auki,-8.7676,160.7034,26.03,89,100,1.52,SB,1746951989
348,vikhorevka,56.1201,101.1636,11.16,87,100,4.55,RU,1746951990
349,santa terezinha,-29.9002,-50.0904,15.3,81,0,5.77,BR,1746951991
350,puerto armuelles,8.2833,-82.8667,26.72,85,83,1.34,PA,1746951992
351,kone,-21.0595,164.8658,22.75,85,79,1.57,NC,1746951993
352,ulsteinvik,62.3432,5.8487,18.5,44,4,0.87,NO,1746951994
353,la ronge,55.1001,-105.2842,6.14,81,40,3.6,CA,1746951995
354,port-cartier,50.0334,-66.8654,3.71,85,100,7.46,CA,1746951996
355,posto fiscal rolim de moura,-13.0833,-62.2667,21.58,99,100,1.09,BR,1746951997
356,praia da vitoria,38.7333,-27.0667,15.14,88,20,1.84,PT,1746951998
357,tuba city,36.135,-111.2399,16.15,29,32,3.0,US,1746951999
358,weligama,5.9667,80.4167,30.68,63,93,5.37,LK,1746952000
359,zyryanskoye,56.8306,86.6258,10.14,45,88,5.62,RU,1746952002
360,kyzylorda,44.8528,65.5092,31.01,19,0,3.0,KZ,1746952004
361,el granada,37.5027,-122.4694,13.89,69,75,6.69,US,1746952005
362,bodo,67.28,14.405,12.75,58,0,8.75,NO,1746952007
